Date,cash_type,money,coffee_name,Time_fixed
3/1/2024,card,38.7,Latte,0.00:15:50
3/1/2024,card,38.7,Hot Chocolate,0.00:19:22
3/1/2024,card,38.7,Hot Chocolate,0.00:20:18
3/1/2024,card,28.9,Americano,0.00:46:33
3/1/2024,card,38.7,Latte,0.00:48:14
3/1/2024,card,33.8,Americano with Milk,0.00:39:47
3/1/2024,card,38.7,Hot Chocolate,0.00:19:02
3/1/2024,card,33.8,Americano with Milk,0.00:39:03
3/1/2024,card,38.7,Cocoa,0.00:22:01
3/1/2024,card,33.8,Americano with Milk,0.00:23:15
3/1/2024,card,33.8,Americano with Milk,0.00:29:17
3/2/2024,card,28.9,Americano,0.00:22:07
3/2/2024,cash,40,Latte,0.00:30:35
3/2/2024,card,33.8,Americano with Milk,0.00:41:41
3/2/2024,card,33.8,Americano with Milk,0.00:59:45
3/2/2024,card,28.9,Americano,0.00:38:35
3/2/2024,card,33.8,Americano with Milk,0.00:37:24
3/2/2024,card,28.9,Americano,0.00:34:55
3/3/2024,cash,40,Latte,0.00:10:44
3/3/2024,card,38.7,Latte,0.00:27:18
3/3/2024,card,28.9,Cortado,0.00:33:56
3/3/2024,card,28.9,Americano,0.00:26:56
3/3/2024,card,38.7,Hot Chocolate,0.00:09:36
3/3/2024,card,38.7,Cocoa,0.00:06:40
3/3/2024,card,28.9,Cortado,0.00:08:45
3/3/2024,card,33.8,Americano with Milk,0.00:03:23
3/3/2024,card,33.8,Americano with Milk,0.00:04:27
3/3/2024,card,38.7,Hot Chocolate,0.00:08:05
3/4/2024,card,38.7,Latte,0.00:03:52
3/4/2024,card,38.7,Latte,0.00:54:51
3/4/2024,card,33.8,Americano with Milk,0.00:05:16
3/4/2024,card,24,Espresso,0.00:04:37
3/5/2024,card,38.7,Latte,0.00:59:52
3/5/2024,card,38.7,Latte,0.00:34:56
3/5/2024,card,38.7,Latte,0.00:34:06
3/5/2024,card,38.7,Hot Chocolate,0.00:35:25
3/5/2024,card,38.7,Cocoa,0.00:36:28
3/5/2024,card,38.7,Hot Chocolate,0.00:37:13
3/5/2024,card,38.7,Hot Chocolate,0.00:38:09
